Edad (grupos quinquenales);Españoles/Extranjeros;Sexo;Año;Total
30-34 años;TOTAL;Mujeres;2013;1837506
30-34 años;TOTAL;Mujeres;2012;1912083
30-34 años;TOTAL;Mujeres;2011;1970510
30-34 años;TOTAL;Mujeres;2010;2002613
30-34 años;TOTAL;Mujeres;2009;2016290
30-34 años;TOTAL;Mujeres;2008;1987233
30-34 años;TOTAL;Mujeres;2007;1937683
30-34 años;TOTAL;Mujeres;2006;1899551
30-34 años;TOTAL;Mujeres;2005;1857000
30-34 años;TOTAL;Mujeres;2004;1797349
30-34 años;TOTAL;Mujeres;2003;1765667
30-34 años;TOTAL;Mujeres;2002;1718119
30-34 años;TOTAL;Mujeres;2001;1674038
30-34 años;TOTAL;Mujeres;2000;1642783
30-34 años;TOTAL;Mujeres;1999;1619366
30-34 años;TOTAL;Mujeres;1998;1612102
35-39 años;TOTAL;Hombres;2020;1702135
35-39 años;TOTAL;Hombres;2019;1757401
35-39 años;TOTAL;Hombres;2018;1830478
35-39 años;TOTAL;Hombres;2017;1904963
35-39 años;TOTAL;Hombres;2016;1979773
35-39 años;TOTAL;Hombres;2015;2037837
35-39 años;TOTAL;Hombres;2014;2089737
35-39 años;TOTAL;Hombres;2013;2120436
35-39 años;TOTAL;Hombres;2012;2130552
35-39 años;TOTAL;Hombres;2011;2112291
35-39 años;TOTAL;Hombres;2010;2089076
35-39 años;TOTAL;Hombres;2009;2060177
35-39 años;TOTAL;Hombres;2008;2023226
35-39 años;TOTAL;Hombres;2007;1959174
35-39 años;TOTAL;Hombres;2006;1927765
35-39 años;TOTAL;Hombres;2005;1885715
35-39 años;TOTAL;Hombres;2004;1835724
35-39 años;TOTAL;Hombres;2003;1800981
35-39 años;TOTAL;Hombres;2002;1729638
35-39 años;TOTAL;Hombres;2001;1659160
35-39 años;TOTAL;Hombres;2000;1602500
35-39 años;TOTAL;Hombres;1999;1545250
35-39 años;TOTAL;Hombres;1998;1512419
35-39 años;TOTAL;Mujeres;2020;1688865
35-39 años;TOTAL;Mujeres;2019;1735199
35-39 años;TOTAL;Mujeres;2018;1794227
35-39 años;TOTAL;Mujeres;2017;1849985
35-39 años;TOTAL;Mujeres;2016;1908500
35-39 años;TOTAL;Mujeres;2015;1952052
35-39 años;TOTAL;Mujeres;2014;1988076
35-39 años;TOTAL;Mujeres;2013;2004617
35-39 años;TOTAL;Mujeres;2012;2005718
35-39 años;TOTAL;Mujeres;2011;1983502
35-39 años;TOTAL;Mujeres;2010;1957043
35-39 años;TOTAL;Mujeres;2009;1927042
35-39 años;TOTAL;Mujeres;2008;1891344
35-39 años;TOTAL;Mujeres;2007;1847382
35-39 años;TOTAL;Mujeres;2006;1821212
35-39 años;TOTAL;Mujeres;2005;1796659
35-39 años;TOTAL;Mujeres;2004;1767562
35-39 años;TOTAL;Mujeres;2003;1742062
35-39 años;TOTAL;Mujeres;2002;1685613
35-39 años;TOTAL;Mujeres;2001;1632611
35-39 años;TOTAL;Mujeres;2000;1589624
35-39 años;TOTAL;Mujeres;1999;1540727
35-39 años;TOTAL;Mujeres;1998;1512285
40-44 años;TOTAL;Hombres;2020;2024303
40-44 años;TOTAL;Hombres;2019;2037012
40-44 años;TOTAL;Hombres;2018;2030238
40-44 años;TOTAL;Hombres;2017;2022771
40-44 años;TOTAL;Hombres;2016;2009139
40-44 años;TOTAL;Hombres;2015;1993988
40-44 años;TOTAL;Hombres;2014;1983102
40-44 años;TOTAL;Hombres;2013;1987658
40-44 años;TOTAL;Hombres;2012;1984676
40-44 años;TOTAL;Hombres;2011;1967008
40-44 años;TOTAL;Hombres;2010;1947712
40-44 años;TOTAL;Hombres;2009;1936397
40-44 años;TOTAL;Hombres;2008;1899435
40-44 años;TOTAL;Hombres;2007;1832087
40-44 años;TOTAL;Hombres;2006;1787716
40-44 años;TOTAL;Hombres;2005;1742996
40-44 años;TOTAL;Hombres;2004;1670028
40-44 años;TOTAL;Hombres;2003;1627803
40-44 años;TOTAL;Hombres;2002;1572550
40-44 años;TOTAL;Hombres;2001;1510106
40-44 años;TOTAL;Hombres;2000;1441542
40-44 años;TOTAL;Hombres;1999;1381605
40-44 años;TOTAL;Hombres;1998;1333288
40-44 años;TOTAL;Mujeres;2020;1971909
40-44 años;TOTAL;Mujeres;2019;1976554
40-44 años;TOTAL;Mujeres;2018;1962417
40-44 años;TOTAL;Mujeres;2017;1950869
40-44 años;TOTAL;Mujeres;2016;1931914
40-44 años;TOTAL;Mujeres;2015;1915711
40-44 años;TOTAL;Mujeres;2014;1901973
40-44 años;TOTAL;Mujeres;2013;1903632
40-44 años;TOTAL;Mujeres;2012;1901283
40-44 años;TOTAL;Mujeres;2011;1886437
40-44 años;TOTAL;Mujeres;2010;1871749
40-44 años;TOTAL;Mujeres;2009;1863095
40-44 años;TOTAL;Mujeres;2008;1829393
40-44 años;TOTAL;Mujeres;2007;1774602
40-44 años;TOTAL;Mujeres;2006;1736790
40-44 años;TOTAL;Mujeres;2005;1700087
40-44 años;TOTAL;Mujeres;2004;1639776
40-44 años;TOTAL;Mujeres;2003;1603636
40-44 años;TOTAL;Mujeres;2002;1558010
40-44 años;TOTAL;Mujeres;2001;1503423
40-44 años;TOTAL;Mujeres;2000;1443408
40-44 años;TOTAL;Mujeres;1999;1390508
40-44 años;TOTAL;Mujeres;1998;1340737
45-49 años;TOTAL;Hombres;2020;1968659
45-49 años;TOTAL;Hombres;2019;1928966
45-49 años;TOTAL;Hombres;2018;1902206
45-49 años;TOTAL;Hombres;2017;1886424
45-49 años;TOTAL;Hombres;2016;1873686
45-49 años;TOTAL;Hombres;2015;1863013
45-49 años;TOTAL;Hombres;2014;1866251
45-49 años;TOTAL;Hombres;2013;1862177
45-49 años;TOTAL;Hombres;2012;1835398
45-49 años;TOTAL;Hombres;2011;1801840
45-49 años;TOTAL;Hombres;2010;1773465
45-49 años;TOTAL;Hombres;2009;1728535
45-49 años;TOTAL;Hombres;2008;1687614
45-49 años;TOTAL;Hombres;2007;1636907
45-49 años;TOTAL;Hombres;2006;1590895
45-49 años;TOTAL;Hombres;2005;1528427
45-49 años;TOTAL;Hombres;2004;1453575
45-49 años;TOTAL;Hombres;2003;1401726
45-49 años;TOTAL;Hombres;2002;1346397
45-49 años;TOTAL;Hombres;2001;1296198
45-49 años;TOTAL;Hombres;2000;1254412
45-49 años;TOTAL;Hombres;1999;1242839
45-49 años;TOTAL;Hombres;1998;1237227
45-49 años;TOTAL;Mujeres;2020;1926866
45-49 años;TOTAL;Mujeres;2019;1889955
45-49 años;TOTAL;Mujeres;2018;1866107
45-49 años;TOTAL;Mujeres;2017;1854123
45-49 años;TOTAL;Mujeres;2016;1842480
45-49 años;TOTAL;Mujeres;2015;1836649
45-49 años;TOTAL;Mujeres;2014;1840502
45-49 años;TOTAL;Mujeres;2013;1834774
45-49 años;TOTAL;Mujeres;2012;1807895
45-49 años;TOTAL;Mujeres;2011;1778681
45-49 años;TOTAL;Mujeres;2010;1749685
45-49 años;TOTAL;Mujeres;2009;1706169
45-49 años;TOTAL;Mujeres;2008;1665836
45-49 años;TOTAL;Mujeres;2007;1622680
45-49 años;TOTAL;Mujeres;2006;1576528
45-49 años;TOTAL;Mujeres;2005;1518132
45-49 años;TOTAL;Mujeres;2004;1450405
45-49 años;TOTAL;Mujeres;2003;1399517
45-49 años;TOTAL;Mujeres;2002;1344358
45-49 años;TOTAL;Mujeres;2001;1297478
45-49 años;TOTAL;Mujeres;2000;1257465
45-49 años;TOTAL;Mujeres;1999;1250044
45-49 años;TOTAL;Mujeres;1998;1245888
50-54 años;TOTAL;Hombres;2020;1828015
50-54 años;TOTAL;Hombres;2019;1810617
50-54 años;TOTAL;Hombres;2018;1784567
50-54 años;TOTAL;Hombres;2017;1750209
50-54 años;TOTAL;Hombres;2016;1720389
50-54 años;TOTAL;Hombres;2015;1696724
50-54 años;TOTAL;Hombres;2014;1662519
50-54 años;TOTAL;Hombres;2013;1645977
50-54 años;TOTAL;Hombres;2012;1625150
50-54 años;TOTAL;Hombres;2011;1587776
50-54 años;TOTAL;Hombres;2010;1536718
50-54 años;TOTAL;Hombres;2009;1479446
50-54 años;TOTAL;Hombres;2008;1428323
50-54 años;TOTAL;Hombres;2007;1375080
50-54 años;TOTAL;Hombres;2006;1334306
50-54 años;TOTAL;Hombres;2005;1295100
50-54 años;TOTAL;Hombres;2004;1271931
50-54 años;TOTAL;Hombres;2003;1270029
50-54 años;TOTAL;Hombres;2002;1236734
50-54 años;TOTAL;Hombres;2001;1214610
50-54 años;TOTAL;Hombres;2000;1210359
50-54 años;TOTAL;Hombres;1999;1194451
50-54 años;TOTAL;Hombres;1998;1153057
50-54 años;TOTAL;Mujeres;2020;1840434
50-54 años;TOTAL;Mujeres;2019;1827223
50-54 años;TOTAL;Mujeres;2018;1801527
50-54 años;TOTAL;Mujeres;2017;1767398
50-54 años;TOTAL;Mujeres;2016;1739135
50-54 años;TOTAL;Mujeres;2015;1715876
50-54 años;TOTAL;Mujeres;2014;1680728
50-54 años;TOTAL;Mujeres;2013;1663366
50-54 años;TOTAL;Mujeres;2012;1642551
50-54 años;TOTAL;Mujeres;2011;1603658
50-54 años;TOTAL;Mujeres;2010;1551812
50-54 años;TOTAL;Mujeres;2009;1496562
50-54 años;TOTAL;Mujeres;2008;1442050
50-54 años;TOTAL;Mujeres;2007;1387797
50-54 años;TOTAL;Mujeres;2006;1346010
50-54 años;TOTAL;Mujeres;2005;1306711
50-54 años;TOTAL;Mujeres;2004;1284153
50-54 años;TOTAL;Mujeres;2003;1283805
50-54 años;TOTAL;Mujeres;2002;1253442
50-54 años;TOTAL;Mujeres;2001;1234471
50-54 años;TOTAL;Mujeres;2000;1236374
50-54 años;TOTAL;Mujeres;1999;1223069
50-54 años;TOTAL;Mujeres;1998;1180592
55-59 años;TOTAL;Hombres;2020;1652558
55-59 años;TOTAL;Hombres;2019;1604216
55-59 años;TOTAL;Hombres;2018;1569263
55-59 años;TOTAL;Hombres;2017;1542291
55-59 años;TOTAL;Hombres;2016;1507166
55-59 años;TOTAL;Hombres;2015;1463284
55-59 años;TOTAL;Hombres;2014;1415943
55-59 años;TOTAL;Hombres;2013;1383062
55-59 años;TOTAL;Hombres;2012;1351254
55-59 años;TOTAL;Hombres;2011;1317232
55-59 años;TOTAL;Hombres;2010;1285336
55-59 años;TOTAL;Hombres;2009;1274182
55-59 años;TOTAL;Hombres;2008;1272124
55-59 años;TOTAL;Hombres;2007;1242564
55-59 años;TOTAL;Hombres;2006;1225645
55-59 años;TOTAL;Hombres;2005;1221934
55-59 años;TOTAL;Hombres;2004;1194884
55-59 años;TOTAL;Hombres;2003;1162092
55-59 años;TOTAL;Hombres;2002;1114129
55-59 años;TOTAL;Hombres;2001;1066595
55-59 años;TOTAL;Hombres;2000;1049358
