periodo,tramo,pensionistas
2008,"Más de 2.560,89 euros",
2008,"Más de 2.159,13 euros",
2008,"Más de 2.567,29 euros",
2008,"De 2.573,69 a 2.573,71",
2008,"De 2.580,12 a 2.580,14",
2008,"De 2.600,01 a 2.614,94",
2008,"De 2.600,01 a 2.659,39",
2008,"De 2.600,01 a 2.683,32",
2008,"De 2.600,01 a 2.707,47",
2008,"Más de 2.573,71 euros",
2008,"Más de 2.580,14 euros",
2008,"De 2.614,95 a 2.614,97",
2008,"De 2.659,40 a 2.659,42",
2008,"De 2.683,33 a 2.683,35",
2008,"De 2.707,48 a 2.707,50",
2008,"Más de 2.614,97 euros",
2008,"Más de 2.659,42 euros",
2008,"Más de 2.683,35 euros",
2008,"Más de 2.707,50",
2009,Hasta 150 euros,80887.67
2009,"De 150,01 a 250,00",54713.67
2009,"De 250,01 a 300,00",88768.92
2009,"De 300,01 a 350,00",116951.75
2009,"De 350,01 a 400,00",422124.92
2009,"De 400,01 a 450,00",79127.67
2009,"De 450,01 a 500,00",80720.75
2009,"De 500,01 a 550,00",918993.83
2009,"De 500,01 a 540,89",
2009,"De 540,90 a 600,00",
2009,"De 500,01 a 512,99",
2009,"De 513,00 a 600,00",
2009,"De 550,01 a 600,00",513158
2009,"De 550,01 a 570,59",
2009,"De 570,60 a 600,00",
2009,"De 600,01 a 700,00",
2009,"De 600,01 a 645,29",
2009,"De 600,01 a 641,39",
2009,"De 600,01 a 633,29",
2009,"De 600,01 a 623,99",60787.58
2009,"De 600,01 a 648,59",
2009,"De 600,01 a 655,19",
2009,"De 600,01 a 650,00",
2009,"De 645,30 a 700,00",
2009,"De 641,40 a 700,00",
2009,"De 633,30 a 700,00",
2009,"De 624,00 a 700,00",503894.58
2009,"De 648,60 a 700,00",
2009,"De 655,20 a 700,00",
2009,"De 650,01 a 707,69",
2009,"De 650,01 a 735,89",
2009,"De 650,01 a 700,00",
2009,"De 700,01 a 750,00",
2009,"De 700,01 a 800,00",232790.17
2009,"De 707,70 a 800,00",
2009,"De 735,90 a 800,00",
2009,"De 750,01 a 800,00",
2009,"De 800,01 a 850,00",
2009,"De 800,01 a 900,00",206741.75
2009,"De 850,01 a 899,99",
2009,"De 850,01 a 900,00",
2009,"De 900,00 a 1000,00",
2009,"De 900,01 a 949,99",
2009,"De 900,01 a 964,99",
2009,"De 900,01 a 1.000,00",210956.75
2009,"De 950,00 a 1.000,00",
2009,"De 965,00 a 1.000,00",
2009,"De 1.000,01 a 1.100,00",198408.42
2009,"De 1.100,01 a 1.200,00",191894.83
2009,"De 1.200,01 a 1.300,00",155300.67
2009,"De 1.300,01 a 1.400,00",131816.5
2009,"De 1.400,01 a 1.500,00",118184.25
2009,"De 1.500,01 a 1.600,00",116163.25
2009,"De 1.600,01 a 1.700,00",94642.33
2009,"De 1.700,01 a 1.800,00",79408.42
2009,"De 1.800,01 a 1.900,00",70070.42
2009,"De 1.900,01 a 2.000,00",57019.25
2009,"De 2.000,01 a 2.100,00",45030.92
2009,"De 2.100,01 a 2.200,00",40750.67
2009,"De 2.200,01 a 2.300,00",36752.17
2009,"De 2.300,01 a 2.400,00",27761.67
2009,"De 2.400,01 a 2.548,10",
2009,"De 2.400,01 a 2.522,87",
2009,"De 2.400,01 a 2.497,89",
2009,"De 2.400,01 a 2.466,18",
2009,"De 2.400,01 a 2.441,73",12381.08
2009,"De 2.300,01 a 2.384,49",
2009,"De 2.200,01 a 2.290,57",
2009,"De 2.100,01 a 2.232,52",
2009,"De 2.400,01 a 2.554,47",
2009,"De 2.400,01 a 2.560,86",
2009,"De 2.100,01 a 2.159,10",
2009,"De 2.400,01 a 2.567,26",
2009,"De 2.400,01 a 2.500,00",
